OBJECTID,ID,Year,Reported Date,Occurred Date,Day of Week,Offence Category,Bicycle Style,Bicycle Value,Bicycle Make,Bicycle Model,Bicycle Type,Bicycle Frame,Bicycle Colour,Bicycle Speed,Neighbourhood,Sector,Division,Census Tract,x,y
1,1410,2022,12/24/2022 5:00:00 AM,12/23/2022 5:00:00 AM,Friday,2120,STOLEN,150,MIEL,N/A,N/A,MEN'S,PUPLE,18,Sandy Hill,Sector 24,Central,5050014,369697.2329,5031293.321
2,1411,2022,12/24/2022 5:00:00 AM,12/23/2022 5:00:00 AM,Friday,2120,STOLEN,150,MIEL,N/A,N/A,MEN'S,PUPLE,18,Sandy Hill,Sector 24,Central,5050014,369697.2329,5031293.321
3,1315,2022,12/22/2022 5:00:00 AM,12/22/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,400,HYPER BEAR,N/A,HYBRID,MEN'S,N/A,10,Carleton University,Sector 22,Central,5050020.01,367417.5989,5026899.964
4,741,2022,12/18/2022 5:00:00 AM,12/14/2022 5:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,0,UNKNOWN,N/A,MOUNTAIN,WOMEN'S,BLUE GRAY,1,Glebe - Dows Lake,Sector 22,Central,5050018,368594.711,5029799.561
5,1175,2022,12/18/2022 5:00:00 AM,12/14/2022 5:00:00 AM,Wednesday,B&E RESIDENCE,STOLEN,800,DAVINCI,MILNO,REGULAR,WOMEN'S,GRYYEL,21,Glebe - Dows Lake,Sector 22,Central,5050018,368594.711,5029799.561
6,1792,2022,12/18/2022 5:00:00 AM,12/14/2022 5:00:00 AM,Wednesday,B&E NON-RESIDENC,STOLEN,0,SUPE,N/A,HYBRID,WOMEN'S,WHITE  YELLOW,1,Glebe - Dows Lake,Sector 22,Central,5050018,368594.711,5029799.561
7,433,2022,12/16/2022 5:00:00 AM,12/15/2022 5:00:00 AM,Thursday,B&E RESIDENCE,STOLEN,1300,NORTHROCK,XCF,REGULAR,MEN'S,BLACK,10,Sandy Hill,Sector 24,Central,5050050,368636.8819,5031723.753
8,1314,2022,12/15/2022 5:00:00 AM,12/7/2022 5:00:00 AM,Wednesday,B&E RESIDENCE,STOLEN,160,OTHER,N/A,REGULAR,MEN'S,N/A,12,Overbrook - McArthur,Sector 25,Central,5050101,370051.5819,5032523.584
9,725,2022,12/14/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,250,RALEIGH,TRANSIT,OTHER,MEN'S,BLUE,1,Hintonburg - Mechanicsville,Sector 21,Central,5050054,368098.2585,5032157.489
10,761,2022,12/14/2022 5:00:00 AM,12/13/2022 5:00:00 AM,Tuesday,THEFT<BICYCLE,STOLEN,2250,RIDLEY,XTRAIL,REGULAR,MEN'S,BLUE YELLOW,1,Vanier North,Sector 25,Central,5050043,366098.7011,5029523.561
11,1628,2022,12/14/2022 5:00:00 AM,10/14/2022 4:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,700,REID,N/A,REGULAR,MEN'S,SILK,1,Byward Market,Sector 24,Central,5050104,369923.7079,5033740.595
12,1528,2022,12/13/2022 5:00:00 AM,11/10/2022 5:00:00 AM,Thursday,B&E NON-RESIDENC,STOLEN,1344,MADONE,TREK 2.1,OTHER,MEN'S,RED,15,Kanata Lakes - Arcardia,Sector 13,West,5050160.06,351737.611,5019489.623
13,1529,2022,12/13/2022 5:00:00 AM,11/10/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,1344,MADONE,TREK 2.1,REGULAR,MEN'S,RED,15,Kanata Lakes - Arcardia,Sector 13,West,5050160.06,351737.611,5019489.623
14,1754,2022,12/13/2022 5:00:00 AM,11/1/2022 4:00:00 AM,Tuesday,THEFT<BICYCLE,STOLEN,700,TREK,VERVE 3,REGULAR,WOMEN'S,WHITE,0,Old Barrhaven East,Sector 16,West,5050141.05,365096.6959,5017253.455
15,1755,2022,12/13/2022 5:00:00 AM,11/1/2022 4:00:00 AM,Tuesday,B&E RESIDENCE,STOLEN,700,TREK,VERVE 3,OTHER,WOMEN'S,WHITE,0,Old Barrhaven East,Sector 16,West,5050141.05,365096.6959,5017253.455
16,555,2022,12/11/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,B&E NON-RESIDENC,STOLEN,5000,TREK,CHECKPOINT,HYBRID,MEN'S,BLUE,0,Laurentian,Sector 14,West,5050033.01,363026.609,5028080.518
17,556,2022,12/11/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,B&E NON-RESIDENC,STOLEN,5000,TREK,CHECKPOINT,REGULAR,MEN'S,BLUE,0,Laurentian,Sector 14,West,5050033.01,363026.609,5028080.518
18,1157,2022,12/11/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,1300,NORC,3,HYBRID,MEN'S,GREEN,0,Laurentian,Sector 14,West,5050033.01,363026.609,5028080.518
19,1158,2022,12/11/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,1300,NORC,3,OTHER,MEN'S,GREEN,0,Laurentian,Sector 14,West,5050033.01,363026.609,5028080.518
20,1626,2022,12/11/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,1400,TREK,CROSS RIP 1,REGULAR,MEN'S,SILK,1,Laurentian,Sector 14,West,5050033.01,363026.609,5028080.518
21,1627,2022,12/11/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,B&E RESIDENCE,STOLEN,1400,TREK,CROSS RIP 1,REGULAR,MEN'S,SILK,1,Laurentian,Sector 14,West,5050033.01,363026.609,5028080.518
22,432,2022,12/9/2022 5:00:00 AM,12/7/2022 5:00:00 AM,Wednesday,B&E NON-RESIDENC,STOLEN,200,RALEIGH,N/A,REGULAR,MEN'S,BLACK,21,Centretown,Sector 23,Central,5050048,367139.7019,5031455.578
23,1332,2022,12/9/2022 5:00:00 AM,12/9/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,1100,KONA,LAVADOME,REGULAR,MEN'S,ORANGE,18,Sandy Hill,Sector 24,Central,5050050,368822.7079,5031736.578
24,37,2022,12/8/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,B&E RESIDENCE,STOLEN,0,UNKNOWN,N/A,REGULAR,UNISEX, N/A,0,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
25,38,2022,12/8/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,B&E NON-RESIDENC,STOLEN,0,UNKNOW,N/A,OTHER,UNISEX, N/A,0,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
26,39,2022,12/8/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,0,UNKNOW,N/A,HYBRID,UNISEX, N/A,0,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
27,1053,2022,12/8/2022 5:00:00 AM,12/8/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,700,MEC SKYWAY,N/A,MOUNTAIN,UNISEX,GRAY,0,Civic Hospital-Central Park,Sector 21,Central,5050054,368002.7049,5031904.581
28,1753,2022,12/8/2022 5:00:00 AM,12/7/2022 5:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,0,PEUG,CANYON,HYBRID,MEN'S,WHITE,9,Sandy Hill,Sector 24,Central,5050023.02,364481.2071,5025288.778
29,848,2022,12/7/2022 5:00:00 AM,12/7/2022 5:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,1000,SPECIALIZED,HARDROCK,OTHER,MEN'S,DARK GREEN,21,Centretown,Sector 23,Central,5050043,365488.6981,5029594.562
30,1752,2022,12/7/2022 5:00:00 AM,12/7/2022 5:00:00 AM,Wednesday,BREACH PROBATION,STOLEN,0,UNKNOWN,N/A,OTHER,UNISEX,WHITE,0,Hintonburg - Mechanicsville,Sector 21,Central,5050040,367115.703,5030862.572
31,1149,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,BREACH PROBATION,STOLEN,300,GT,AVALANCHE,MOUNTAIN,UNISEX,GREEN,0,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
32,1150,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,MISCHIEF PROP,STOLEN,1000,NORC,CHAOS,MOUNTAIN,UNISEX,GREEN,7,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
33,1151,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,POSS B/E INSTRUM,STOLEN,300,GT,AVALANCHE,MOUNTAIN,UNISEX,GREEN,0,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
34,1152,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,POSS B/E INSTRUM,STOLEN,1000,NORC,CHAOS,MOUNTAIN,UNISEX,GREEN,7,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
35,1153,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,BREACH PROBATION,STOLEN,300,GT,AVALANCHE,MOUNTAIN,UNISEX,GREEN,0,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
36,1154,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,MISCHIEF PROP,STOLEN,1000,NORC,CHAOS,MOUNTAIN,UNISEX,GREEN,7,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
37,1155,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,B&E NON-RESIDENC,STOLEN,300,GT,AVALANCHE,MOUNTAIN,UNISEX,GREEN,0,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
38,1156,2022,12/6/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,B&E NON-RESIDENC,STOLEN,1000,NORC,CHAOS,MOUNTAIN,UNISEX,GREEN,7,Centretown,Sector 23,Central,5050038,367916.7071,5030562.569
39,1759,2022,12/6/2022 5:00:00 AM,10/7/2022 4:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,500,SPEC,SIRRUS,MOUNTAIN,MEN'S,WHITE  BLACK,21,Byward Market,Sector 24,Central,5050054,368082.703,5032825.59
40,1760,2022,12/6/2022 5:00:00 AM,10/7/2022 4:00:00 AM,Friday,B&E NON-RESIDENC,STOLEN,500,SPEC,SIRRUS,OTHER,MEN'S,WHITE  BLACK,21,Byward Market,Sector 24,Central,5050054,368082.703,5032825.59
41,428,2022,12/5/2022 5:00:00 AM,11/10/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,749,SPEC,SIRRUS 1,HYBRID,MEN'S,BLACK,0,Centretown,Sector 23,Central,5050045,365004.697,5029193.558
42,429,2022,12/5/2022 5:00:00 AM,11/10/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,749,SPEC,SIRRUS 1,REGULAR,MEN'S,BLACK,0,Centretown,Sector 23,Central,5050045,365004.697,5029193.558
43,430,2022,12/5/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,0,UNKNOWN,N/A,OTHER,MEN'S,BLACK,21,Hintonburg - Mechanicsville,Sector 21,Central,5050033.01,362910.689,5028065.548
44,431,2022,12/5/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,B&E NON-RESIDENC,STOLEN,0,UNKNOWN,N/A,OTHER,MEN'S,BLACK,21,Hintonburg - Mechanicsville,Sector 21,Central,5050033.01,362910.689,5028065.548
45,813,2022,12/5/2022 5:00:00 AM,12/2/2022 5:00:00 AM,Friday,B&E NON-RESIDENC,STOLEN,2300,CANNONDALE,SYNAPSE CARBON,REGULAR,WOMEN'S,DARK BLACK,18,Sandy Hill,Sector 24,Central,5050037,368164.7071,5031198.574
46,814,2022,12/5/2022 5:00:00 AM,12/2/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,2300,CANNONDALE,SYNAPSE CARBON,REGULAR,WOMEN'S,DARK BLACK,18,Laurentian,Sector 14,West,5050037,368164.7071,5031198.574
47,1052,2022,12/5/2022 5:00:00 AM,12/5/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,500,REID,EXPRESS,REGULAR,UNISEX,GRAY,1,Laurentian,Sector 14,West,5050050,368227.7049,5032046.582
48,427,2022,12/4/2022 5:00:00 AM,12/3/2022 5:00:00 AM,Saturday,B&E NON-RESIDENC,STOLEN,2000,GOTRAX,N/A,HYBRID,UNISEX,BLACK,7,Riverview,Sector 33,East,5050011.04,370789.7181,5030420.564
49,812,2022,12/3/2022 5:00:00 AM,12/2/2022 5:00:00 AM,Friday,B&E NON-RESIDENC,STOLEN,500,ECLI,N/A,REGULAR,UNISEX,DARK BLACK,1,Sandy Hill,Sector 24,Central,5050050,368946.8317,5031553.624
50,1409,2022,12/3/2022 5:00:00 AM,11/27/2022 5:00:00 AM,Sunday,THEFT<BICYCLE,STOLEN,90,CHER,N/A,OTHER,WOMEN'S,PUPLE,1,Sandy Hill,Sector 24,Central,5050051,369474.4849,5031508.318
51,1527,2022,12/2/2022 5:00:00 AM,12/1/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,100,SUPERCYCLE,SC1800,OTHER,UNISEX,RED,16,Civic Hospital-Central Park,Sector 21,Central,5050034,365987.7011,5029136.557
52,425,2022,12/1/2022 5:00:00 AM,11/29/2022 5:00:00 AM,Tuesday,B&E RESIDENCE,STOLEN,0,NORTHROCK,XCX,MOUNTAIN,MEN'S,BLACK,10,Laurentian,Sector 14,West,5050032.02,362842.689,5027678.545
53,426,2022,12/1/2022 5:00:00 AM,11/29/2022 5:00:00 AM,Tuesday,THEFT<BICYCLE,STOLEN,0,NORTHROCK,XCX,MOUNTAIN,MEN'S,BLACK,10,Laurentian,Sector 14,West,5050032.02,362842.689,5027678.545
54,1050,2022,12/1/2022 5:00:00 AM,11/14/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,1410,CANNONDALE,N/A,REGULAR,WOMEN'S,GRAY,0,Sandy Hill,Sector 24,Central,5050101,370381.7121,5032503.583
55,1051,2022,12/1/2022 5:00:00 AM,11/14/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,1410,CANNONDALE,N/A,REGULAR,WOMEN'S,GRAY,0,Overbrook - McArthur,Sector 25,Central,5050101,370381.7121,5032503.583
56,1526,2022,12/1/2022 5:00:00 AM,12/1/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,1000,SCOTT,ASPECT 940,REGULAR,MEN'S,RED,9,Overbrook - McArthur,Sector 25,Central,5050050,368946.8317,5031553.624
57,453,2022,11/29/2022 5:00:00 AM,11/23/2022 5:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,800,CCM,KROSSPORT,MOUNTAIN,MEN'S,BLACK BLUE,21,Centretown,Sector 23,Central,5050038,367979.1001,5030416.717
58,454,2022,11/29/2022 5:00:00 AM,11/23/2022 5:00:00 AM,Wednesday,B&E NON-RESIDENC,STOLEN,800,CCM,KROSSPORT,REGULAR,MEN'S,BLACK BLUE,21,Centretown,Sector 23,Central,5050038,367979.1001,5030416.717
59,424,2022,11/28/2022 5:00:00 AM,11/10/2022 5:00:00 AM,Thursday,THEFT > FROM VEH,STOLEN,800,MANITOU,N/A,HYBRID,MEN'S,BLACK,0,Centretown,Sector 23,Central,5050039,367706.7071,5030160.565
60,778,2022,11/28/2022 5:00:00 AM,11/28/2022 5:00:00 AM,Monday,B&E RESIDENCE,STOLEN,800,KONA,DEW,HYBRID,MEN'S,BROWN BLK,18,Carson Grove - Carson Meadows,Sector 32,East,5050122.03,373194.7219,5032813.579
61,779,2022,11/28/2022 5:00:00 AM,11/28/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,800,KONA,DEW,REGULAR,MEN'S,BROWN BLK,18,Carson Grove - Carson Meadows,Sector 32,East,5050122.03,373194.7219,5032813.579
62,780,2022,11/28/2022 5:00:00 AM,11/28/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,800,KONA,DEW,HYBRID,MEN'S,BROWN BLK,18,Carson Grove - Carson Meadows,Sector 32,East,5050122.03,373194.7219,5032813.579
63,781,2022,11/28/2022 5:00:00 AM,11/28/2022 5:00:00 AM,Monday,B&E NON-RESIDENC,STOLEN,800,KONA,DEW,HYBRID,MEN'S,BROWN BLK,18,Carson Grove - Carson Meadows,Sector 32,East,5050122.03,373194.7219,5032813.579
64,1049,2022,11/28/2022 5:00:00 AM,11/27/2022 5:00:00 AM,Sunday,THEFT<BICYCLE,STOLEN,500,NORTHROCK,N/A,HYBRID,MEN'S,GRAY,0,Sandy Hill,Sector 24,Central,5050050,368946.8317,5031553.624
65,423,2022,11/25/2022 5:00:00 AM,11/25/2022 5:00:00 AM,Friday,PROPERTY SEIZED,STOLEN,700,SPECIALIZED,ROCKHOPPER,HYBRID,MEN'S,BLACK,18,Braemar Park - Bel Air Heights - Copeland Park,Sector 15,West,5050026,362549.686,5023770.51
66,1168,2022,11/24/2022 5:00:00 AM,11/23/2022 5:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,0,MINE,N/A,HYBRID,MEN'S,GREEN WHITE,10,Overbrook - McArthur,Sector 25,Central,5050061,371445.7159,5032824.584
67,422,2022,11/23/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,800,MOUN,N/A,MOUNTAIN,MEN'S,BLACK,7,Byward Market,Sector 24,Central,5050054,367936.3992,5032332.034
68,1408,2022,11/23/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,800,MOUN,N/A,MOUNTAIN,WOMEN'S,PUPLE,21,Byward Market,Sector 24,Central,5050054,367936.3992,5032332.034
69,1065,2022,11/22/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,1500,KHS,ULTRASPORT 3.0,OTHER,MEN'S,GRAY BLACK,27,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,371636.7271,5027124.537
70,1066,2022,11/22/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,THEFT<BICYCLE,STOLEN,1500,KHS,ULTRASPORT 3.0,HYBRID,MEN'S,GRAY BLACK,27,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,371636.7271,5027124.537
71,1067,2022,11/22/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,THEFT<FRM VEHICL,STOLEN,1500,KHS,ULTRASPORT 3.0,MOUNTAIN,MEN'S,GRAY BLACK,27,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,371636.7271,5027124.537
72,1749,2022,11/22/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,RECOV STLN PROP<,STOLEN,1000,DAVINCI,S1,OTHER,MEN'S,WHITE,24,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,371636.7271,5027124.537
73,1750,2022,11/22/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,RECOV STLN PROP<,STOLEN,1000,DAVINCI,S1,HYBRID,MEN'S,WHITE,24,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,371636.7271,5027124.537
74,1751,2022,11/22/2022 5:00:00 AM,11/21/2022 5:00:00 AM,Monday,THEFT<FRM VEHICL,STOLEN,1000,DAVINCI,S1,TOURING,MEN'S,WHITE,24,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,371636.7271,5027124.537
75,474,2022,11/20/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,B&E NON-RESIDENC,STOLEN,3050,LIV,AVAIL ADVANCE 3,OTHER,WOMEN'S,BLACK GRAY,18,Laurentian,Sector 14,West,5050033.01,362910.689,5028065.548
76,475,2022,11/20/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,B&E RESIDENCE,STOLEN,3050,LIV,AVAIL ADVANCE 3,OTHER,WOMEN'S,BLACK GRAY,18,Laurentian,Sector 14,West,5050033.01,362910.689,5028065.548
77,758,2022,11/20/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,THEFT<BICYCLE,STOLEN,750,GIAN,N/A,OTHER,WOMEN'S,BLUE WHITE,21,Laurentian,Sector 14,West,5050033.01,362910.689,5028065.548
78,759,2022,11/20/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,B&E NON-RESIDENC,STOLEN,750,GIAN,N/A,OTHER,WOMEN'S,BLUE WHITE,21,Laurentian,Sector 14,West,5050033.01,362910.689,5028065.548
79,1524,2022,11/20/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,THEFT<BICYCLE,STOLEN,7594,NARCO,OPTIC C2 SRAM,MOUNTAIN,WOMEN'S,RED,0,Laurentian,Sector 14,West,5050033.01,362910.689,5028065.548
80,1525,2022,11/20/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,B&E RESIDENCE,STOLEN,7594,NARCO,OPTIC C2 SRAM,HYBRID,WOMEN'S,RED,0,Laurentian,Sector 14,West,5050033.01,362910.689,5028065.548
81,723,2022,11/19/2022 5:00:00 AM,11/12/2022 5:00:00 AM,Saturday,THEFT<BICYCLE,STOLEN,0,TARMAC,SPEC,RACER,MEN'S,BLUE,10,Glebe - Dows Lake,Sector 22,Central,5050019,367976.7101,5028702.553
82,724,2022,11/19/2022 5:00:00 AM,11/12/2022 5:00:00 AM,Saturday,THEFT<BICYCLE,STOLEN,0,TARMAC,SPEC,OTHER,MEN'S,BLUE,10,Glebe - Dows Lake,Sector 22,Central,5050019,367976.7101,5028702.553
83,1747,2022,11/19/2022 5:00:00 AM,11/12/2022 5:00:00 AM,Saturday,B&E RESIDENCE,STOLEN,0,FELT,N/A,RACER,UNISEX,WHITE,20,Glebe - Dows Lake,Sector 22,Central,5050019,367976.7101,5028702.553
84,1748,2022,11/19/2022 5:00:00 AM,11/12/2022 5:00:00 AM,Saturday,B&E NON-RESIDENC,STOLEN,0,FELT,N/A,MOUNTAIN,UNISEX,WHITE,20,Glebe - Dows Lake,Sector 22,Central,5050019,367976.7101,5028702.553
85,418,2022,11/18/2022 5:00:00 AM,11/15/2022 5:00:00 AM,Tuesday,B&E NON-RESIDENC,STOLEN,1000,GIAN,ESCAPE,HYBRID,MEN'S,BLACK,21,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
86,419,2022,11/18/2022 5:00:00 AM,11/15/2022 5:00:00 AM,Tuesday,THEFT<BICYCLE,STOLEN,600,FUJI,ABSOLUTE 1.9,HYBRID,WOMEN'S,BLACK,7,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
87,420,2022,11/18/2022 5:00:00 AM,11/15/2022 5:00:00 AM,Tuesday,B&E RESIDENCE,STOLEN,1000,GIAN,ESCAPE,TOURING,MEN'S,BLACK,21,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
88,421,2022,11/18/2022 5:00:00 AM,11/15/2022 5:00:00 AM,Tuesday,THEFT<BICYCLE,STOLEN,600,FUJI,ABSOLUTE 1.9,TOURING,WOMEN'S,BLACK,7,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
89,1746,2022,11/17/2022 5:00:00 AM,11/17/2022 5:00:00 AM,Thursday,THEFT<BICYCLE,STOLEN,425,TAKARA,NOBU,HYBRID,MEN'S,WHITE,8,Sandy Hill,Sector 24,Central,5050050,368719.7071,5031903.58
90,719,2022,11/16/2022 5:00:00 AM,11/16/2022 5:00:00 AM,Wednesday,VEHICLE REC STOL,STOLEN,90,UNK,N/A,OTHER,CHILD'S,BLUE,0,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
91,720,2022,11/16/2022 5:00:00 AM,11/16/2022 5:00:00 AM,Wednesday,VEHICLE TOWED,STOLEN,90,UNK,N/A,OTHER,CHILD'S,BLUE,0,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
92,721,2022,11/16/2022 5:00:00 AM,11/16/2022 5:00:00 AM,Wednesday,THEFT MOTOR VEH,STOLEN,90,UNK,N/A,OTHER,CHILD'S,BLUE,0,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
93,722,2022,11/16/2022 5:00:00 AM,11/16/2022 5:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,90,UNK,N/A,OTHER,CHILD'S,BLUE,0,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
94,1623,2022,11/16/2022 5:00:00 AM,10/29/2022 4:00:00 AM,Saturday,THEFT<BICYCLE,STOLEN,490,TRIBAN,SHIMANO,REGULAR,MEN'S,SILK,7,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
95,1624,2022,11/16/2022 5:00:00 AM,10/29/2022 4:00:00 AM,Saturday,THEFT<BICYCLE,STOLEN,490,TRIBAN,SHIMANO,OTHER,MEN'S,SILK,7,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
96,1625,2022,11/16/2022 5:00:00 AM,10/29/2022 4:00:00 AM,Saturday,B&E NON-RESIDENC,STOLEN,490,TRIBAN,SHIMANO,HYBRID,MEN'S,SILK,7,Centretown,Sector 23,Central,5050037,367915.706,5031251.575
97,1622,2022,11/15/2022 5:00:00 AM,11/12/2022 5:00:00 AM,Saturday,BREACH PROBATION,STOLEN,800,GIANT,TALON,REGULAR,MEN'S,SILK,0,Laurentian,Sector 14,West,5050033.01,363283.691,5027281.541
98,416,2022,11/14/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,THEFT<BICYCLE,STOLEN,100,SUPER,1800,HYBRID,UNISEX,BLACK,18,Beaverbrook,Sector 13,West,5050160.06,352152.8279,5020141.646
99,417,2022,11/14/2022 5:00:00 AM,10/5/2022 4:00:00 AM,Wednesday,THEFT<BICYCLE,STOLEN,1000,LOUIS GARNEAU,URBANIA 4,OTHER,MEN'S,BLACK,24,Glebe - Dows Lake,Sector 22,Central,5050036,368281.709,5030058.564
100,739,2022,11/14/2022 5:00:00 AM,11/1/2022 4:00:00 AM,Tuesday,THEFT<BICYCLE,STOLEN,600,OTHER,N/A,MOUNTAIN,CHILD'S,BLUE GRAY,12,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,353189.5381,5016326.581
101,740,2022,11/14/2022 5:00:00 AM,11/1/2022 4:00:00 AM,Tuesday,B&E NON-RESIDENC,STOLEN,600,OTHER,N/A,REGULAR,CHILD'S,BLUE GRAY,12,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,353189.5381,5016326.581
102,718,2022,11/13/2022 5:00:00 AM,11/12/2022 5:00:00 AM,Saturday,B&E RESIDENCE,STOLEN,800,GT,STOMPER,OTHER,MEN'S,BLUE,0,Borden Farm - Fisher Glen,Sector 17,West,5050131.01,365657.7019,5023077.506
103,757,2022,11/13/2022 5:00:00 AM,11/13/2022 5:00:00 AM,Sunday,THEFT<BICYCLE,STOLEN,0,UNKNOWN,N/A,MOUNTAIN,WOMEN'S,BLUE WHITE,12,Carleton University,Sector 22,Central,5050020.01,367417.5989,5026899.964
104,1048,2022,11/12/2022 5:00:00 AM,11/11/2022 5:00:00 AM,Friday,THEFT<BICYCLE,STOLEN,600,RALEIGH,MOUNTAIN BIKE,REGULAR,MEN'S,GRAY,8,Sandy Hill,Sector 24,Central,5050050,368636.8819,5031723.753
105,414,2022,11/11/2022 5:00:00 AM,11/11/2022 5:00:00 AM,Friday,B&E RESIDENCE,STOLEN,1100,CANNONDALE,QUICK DISC 3,RACER,MEN'S,BLACK,9,Ledbury - Heron Gate - Ridgemont,Sector 34,East,5050053,368416.706,5032256.584
